sref,cref,bref,tipChord,tipPositionX,tipPositionY,transitionEndChord,transitionEndPositionX,transitionEndPositionY,taperRatio,sweepAngle,transitionWidth
300,15,20,15,2.9118,10,15,0.182,2.5,1,20,0.5
360,15,24,15,3.6397,12,15,0.182,2.5,1,20,0.5
420,15,28,15,4.3676,14,15,0.182,2.5,1,20,0.5
276,13.8696,20,12,3.6618,10,14.8125,0.2289,2.5,0.8,20,0.5
330,13.8182,24,12,4.3897,12,14.85,0.2195,2.5,0.8,20,0.5
384,13.7813,28,12,5.1176,14,14.875,0.2132,2.5,0.8,20,0.5
252,12.9048,20,9,4.4118,10,14.625,0.2757,2.5,0.6,20,0.5
300,12.8,24,9,5.1397,12,14.7,0.257,2.5,0.6,20,0.5
348,12.7241,28,9,5.8676,14,14.75,0.2445,2.5,0.6,20,0.5
228,12.1579,20,6,5.1618,10,14.4375,0.3226,2.5,0.4,20,0.5
270,12,24,6,5.8897,12,14.55,0.2945,2.5,0.4,20,0.5
312,11.8846,28,6,6.6176,14,14.625,0.2757,2.5,0.4,20,0.5
204,11.7059,20,3,5.9118,10,14.25,0.3695,2.5,0.2,20,0.5
240,11.5,24,3,6.6397,12,14.4,0.332,2.5,0.2,20,0.5
276,11.3478,28,3,7.3676,14,14.5,0.307,2.5,0.2,20,0.5
300,15,20,15,3.7305,10,15,0.2332,2.5,1,25,0.5
360,15,24,15,4.6631,12,15,0.2332,2.5,1,25,0.5
420,15,28,15,5.5957,14,15,0.2332,2.5,1,25,0.5
276,13.8696,20,12,4.4805,10,14.8125,0.28,2.5,0.8,25,0.5
330,13.8182,24,12,5.4131,12,14.85,0.2707,2.5,0.8,25,0.5
384,13.7813,28,12,6.3457,14,14.875,0.2644,2.5,0.8,25,0.5
252,12.9048,20,9,5.2305,10,14.625,0.3269,2.5,0.6,25,0.5
300,12.8,24,9,6.1631,12,14.7,0.3082,2.5,0.6,25,0.5
348,12.7241,28,9,7.0957,14,14.75,0.2957,2.5,0.6,25,0.5
228,12.1579,20,6,5.9805,10,14.4375,0.3738,2.5,0.4,25,0.5
270,12,24,6,6.9131,12,14.55,0.3457,2.5,0.4,25,0.5
312,11.8846,28,6,7.8457,14,14.625,0.3269,2.5,0.4,25,0.5
204,11.7059,20,3,6.7305,10,14.25,0.4207,2.5,0.2,25,0.5
240,11.5,24,3,7.6631,12,14.4,0.3832,2.5,0.2,25,0.5
276,11.3478,28,3,8.5957,14,14.5,0.3582,2.5,0.2,25,0.5
300,15,20,15,4.6188,10,15,0.2887,2.5,1,30,0.5
360,15,24,15,5.7735,12,15,0.2887,2.5,1,30,0.5
420,15,28,15,6.9282,14,15,0.2887,2.5,1,30,0.5
276,13.8696,20,12,5.3688,10,14.8125,0.3356,2.5,0.8,30,0.5
330,13.8182,24,12,6.5235,12,14.85,0.3262,2.5,0.8,30,0.5
384,13.7813,28,12,7.6782,14,14.875,0.3199,2.5,0.8,30,0.5
252,12.9048,20,9,6.1188,10,14.625,0.3824,2.5,0.6,30,0.5
300,12.8,24,9,7.2735,12,14.7,0.3637,2.5,0.6,30,0.5
348,12.7241,28,9,8.4282,14,14.75,0.3512,2.5,0.6,30,0.5
228,12.1579,20,6,6.8688,10,14.4375,0.4293,2.5,0.4,30,0.5
270,12,24,6,8.0235,12,14.55,0.4012,2.5,0.4,30,0.5
312,11.8846,28,6,9.1782,14,14.625,0.3824,2.5,0.4,30,0.5
204,11.7059,20,3,7.6188,10,14.25,0.4762,2.5,0.2,30,0.5
240,11.5,24,3,8.7735,12,14.4,0.4387,2.5,0.2,30,0.5
276,11.3478,28,3,9.9282,14,14.5,0.4137,2.5,0.2,30,0.5
300,15,20,15,2.9118,10,15,0.364,3,1,20,1
360,15,24,15,3.6397,12,15,0.364,3,1,20,1
420,15,28,15,4.3676,14,15,0.364,3,1,20,1
276,13.8696,20,12,3.6618,10,14.625,0.4577,3,0.8,20,1
330,13.8182,24,12,4.3897,12,14.7,0.439,3,0.8,20,1
384,13.7813,28,12,5.1176,14,14.75,0.4265,3,0.8,20,1
252,12.9048,20,9,4.4118,10,14.25,0.5515,3,0.6,20,1
300,12.8,24,9,5.1397,12,14.4,0.514,3,0.6,20,1
348,12.7241,28,9,5.8676,14,14.5,0.489,3,0.6,20,1
228,12.1579,20,6,5.1618,10,13.875,0.6452,3,0.4,20,1
270,12,24,6,5.8897,12,14.1,0.589,3,0.4,20,1
312,11.8846,28,6,6.6176,14,14.25,0.5515,3,0.4,20,1
204,11.7059,20,3,5.9118,10,13.5,0.739,3,0.2,20,1
240,11.5,24,3,6.6397,12,13.8,0.664,3,0.2,20,1
276,11.3478,28,3,7.3676,14,14,0.614,3,0.2,20,1
300,15,20,15,3.7305,10,15,0.4663,3,1,25,1
360,15,24,15,4.6631,12,15,0.4663,3,1,25,1
420,15,28,15,5.5957,14,15,0.4663,3,1,25,1
276,13.8696,20,12,4.4805,10,14.625,0.5601,3,0.8,25,1
330,13.8182,24,12,5.4131,12,14.7,0.5413,3,0.8,25,1
384,13.7813,28,12,6.3457,14,14.75,0.5288,3,0.8,25,1
252,12.9048,20,9,5.2305,10,14.25,0.6538,3,0.6,25,1
300,12.8,24,9,6.1631,12,14.4,0.6163,3,0.6,25,1
348,12.7241,28,9,7.0957,14,14.5,0.5913,3,0.6,25,1
228,12.1579,20,6,5.9805,10,13.875,0.7476,3,0.4,25,1
270,12,24,6,6.9131,12,14.1,0.6913,3,0.4,25,1
312,11.8846,28,6,7.8457,14,14.25,0.6538,3,0.4,25,1
204,11.7059,20,3,6.7305,10,13.5,0.8413,3,0.2,25,1
240,11.5,24,3,7.6631,12,13.8,0.7663,3,0.2,25,1
276,11.3478,28,3,8.5957,14,14,0.7163,3,0.2,25,1
300,15,20,15,4.6188,10,15,0.5774,3,1,30,1
360,15,24,15,5.7735,12,15,0.5774,3,1,30,1
420,15,28,15,6.9282,14,15,0.5774,3,1,30,1
276,13.8696,20,12,5.3688,10,14.625,0.6711,3,0.8,30,1
330,13.8182,24,12,6.5235,12,14.7,0.6524,3,0.8,30,1
384,13.7813,28,12,7.6782,14,14.75,0.6399,3,0.8,30,1
252,12.9048,20,9,6.1188,10,14.25,0.7649,3,0.6,30,1
300,12.8,24,9,7.2735,12,14.4,0.7274,3,0.6,30,1
348,12.7241,28,9,8.4282,14,14.5,0.7024,3,0.6,30,1
228,12.1579,20,6,6.8688,10,13.875,0.8586,3,0.4,30,1
270,12,24,6,8.0235,12,14.1,0.8024,3,0.4,30,1
312,11.8846,28,6,9.1782,14,14.25,0.7649,3,0.4,30,1
204,11.7059,20,3,7.6188,10,13.5,0.9524,3,0.2,30,1
240,11.5,24,3,8.7735,12,13.8,0.8774,3,0.2,30,1
276,11.3478,28,3,9.9282,14,14,0.8274,3,0.2,30,1
300,15,20,15,2.9118,10,15,0.546,3.5,1,20,1.5
360,15,24,15,3.6397,12,15,0.546,3.5,1,20,1.5
420,15,28,15,4.3676,14,15,0.546,3.5,1,20,1.5
276,13.8696,20,12,3.6618,10,14.4375,0.6866,3.5,0.8,20,1.5
330,13.8182,24,12,4.3897,12,14.55,0.6585,3.5,0.8,20,1.5
384,13.7813,28,12,5.1176,14,14.625,0.6397,3.5,0.8,20,1.5
252,12.9048,20,9,4.4118,10,13.875,0.8272,3.5,0.6,20,1.5
300,12.8,24,9,5.1397,12,14.1,0.771,3.5,0.6,20,1.5
348,12.7241,28,9,5.8676,14,14.25,0.7335,3.5,0.6,20,1.5
228,12.1579,20,6,5.1618,10,13.3125,0.9678,3.5,0.4,20,1.5
270,12,24,6,5.8897,12,13.65,0.8835,3.5,0.4,20,1.5
312,11.8846,28,6,6.6176,14,13.875,0.8272,3.5,0.4,20,1.5
204,11.7059,20,3,5.9118,10,12.75,1.1085,3.5,0.2,20,1.5
240,11.5,24,3,6.6397,12,13.2,0.996,3.5,0.2,20,1.5
276,11.3478,28,3,7.3676,14,13.5,0.921,3.5,0.2,20,1.5
