sref,cref,bref,tipChord,tipPositionX,tipPositionY,transitionEndChord,transitionEndPositionX,transitionEndPositionY,taperRatio,sweepAngle,transitionWidth
160,8,20,8,0.7874,10,8,0.0437,1.5,1,5,0.5
192,8,24,8,0.9624,12,8,0.0437,1.5,1,5,0.5
224,8,28,8,1.1374,14,8,0.0437,1.5,1,5,0.5
256,8,32,8,1.3123,16,8,0.0437,1.5,1,5,0.5
288,8,36,8,1.4873,18,8,0.0437,1.5,1,5,0.5
145.6,7.3143,20,6.4,1.1874,10,7.9111,0.066,1.5,0.8,5,0.5
174.4,7.3003,24,6.4,1.3624,12,7.9273,0.0619,1.5,0.8,5,0.5
203.2,7.2903,28,6.4,1.5374,14,7.9385,0.0591,1.5,0.8,5,0.5
232,7.2828,32,6.4,1.7123,16,7.9467,0.0571,1.5,0.8,5,0.5
260.8,7.2769,36,6.4,1.8873,18,7.9529,0.0555,1.5,0.8,5,0.5
131.2,6.7122,20,4.8,1.5874,10,7.8222,0.0882,1.5,0.6,5,0.5
156.8,6.683,24,4.8,1.7624,12,7.8545,0.0801,1.5,0.6,5,0.5
182.4,6.662,28,4.8,1.9374,14,7.8769,0.0745,1.5,0.6,5,0.5
208,6.6462,32,4.8,2.1123,16,7.8933,0.0704,1.5,0.6,5,0.5
233.6,6.6338,36,4.8,2.2873,18,7.9059,0.0673,1.5,0.6,5,0.5
116.8,6.2247,20,3.2,1.9874,10,7.7333,0.1104,1.5,0.4,5,0.5
139.2,6.1793,24,3.2,2.1624,12,7.7818,0.0983,1.5,0.4,5,0.5
161.6,6.1465,28,3.2,2.3374,14,7.8154,0.0899,1.5,0.4,5,0.5
184,6.1217,32,3.2,2.5123,16,7.84,0.0837,1.5,0.4,5,0.5
206.4,6.1023,36,3.2,2.6873,18,7.8588,0.079,1.5,0.4,5,0.5
102.4,5.9,20,1.6,2.3874,10,7.6444,0.1326,1.5,0.2,5,0.5
121.6,5.8386,24,1.6,2.5624,12,7.7091,0.1165,1.5,0.2,5,0.5
140.8,5.7939,28,1.6,2.7374,14,7.7538,0.1053,1.5,0.2,5,0.5
160,5.76,32,1.6,2.9123,16,7.7867,0.0971,1.5,0.2,5,0.5
179.2,5.7333,36,1.6,3.0873,18,7.8118,0.0908,1.5,0.2,5,0.5
160,8,20,8,1.5869,10,8,0.0882,1.5,1,10,0.5
192,8,24,8,1.9396,12,8,0.0882,1.5,1,10,0.5
224,8,28,8,2.2923,14,8,0.0882,1.5,1,10,0.5
256,8,32,8,2.6449,16,8,0.0882,1.5,1,10,0.5
288,8,36,8,2.9976,18,8,0.0882,1.5,1,10,0.5
145.6,7.3143,20,6.4,1.9869,10,7.9111,0.1104,1.5,0.8,10,0.5
174.4,7.3003,24,6.4,2.3396,12,7.9273,0.1063,1.5,0.8,10,0.5
203.2,7.2903,28,6.4,2.6923,14,7.9385,0.1035,1.5,0.8,10,0.5
232,7.2828,32,6.4,3.0449,16,7.9467,0.1015,1.5,0.8,10,0.5
260.8,7.2769,36,6.4,3.3976,18,7.9529,0.0999,1.5,0.8,10,0.5
131.2,6.7122,20,4.8,2.3869,10,7.8222,0.1326,1.5,0.6,10,0.5
